Customer_ID,Gender,Age,Membership_Type,Items_Purchased,Total_Spend,Discount_Applied,Days_Since_Last_Purchase,Average_Rating,Satisfaction_Score,Region
43,Female,36,Gold,4,690.01,0,80,3,0.8,West
44,Female,25,Basic,2,503.86,0,50,5,0.79,South
45,Female,43,Silver,2,504.73,0,87,3,0.73,North
46,Female,57,Platinum,0,717.58,1,76,1,0.12,West
47,Female,24,Basic,5,747.37,0,38,4,0.99,South
48,Male,47,Platinum,3,825.13,1,24,3,0.94,East
49,Female,24,Basic,4,327.08,1,38,3,0.37,South
50,Female,20,Silver,4,525.18,0,62,5,0.58,North
51,Male,18,Basic,4,548.74,0,56,4,0.89,West
52,Female,53,Platinum,4,597.29,1,65,5,0.49,East
53,Male,42,Basic,2,409.22,1,17,4,0.6,South
54,Female,54,Basic,4,685.08,0,17,2,0.6,North
55,Male,18,Platinum,6,883.4,0,27,1,0.65,North
56,Female,32,Silver,5,421.15,1,89,5,0.58,North
57,Female,54,Silver,5,628.28,0,25,1,0.41,South
58,Male,30,Basic,2,788.24,1,76,4,0.54,East
59,Male,57,Gold,3,564.35,1,49,3,0.87,South
60,Male,25,Basic,3,490.01,0,58,4,0.86,East
61,Male,22,Basic,3,626.73,1,85,3,0.77,West
62,Male,26,Silver,3,710.07,0,1,1,0.41,East
63,Male,18,Basic,3,410.48,0,13,4,0.79,North
64,Male,53,Platinum,6,755.44,0,53,3,0.39,North
65,Male,52,Platinum,4,568.13,0,21,4,0.66,North
66,Female,19,Gold,4,499.92,0,1,5,0.57,South
67,Female,57,Gold,7,370.01,0,77,4,0.3,West
68,Male,40,Silver,0,502.04,0,31,3,0.45,East
69,Female,26,Basic,5,508.97,0,61,4,0.83,North
70,Female,51,Gold,5,420.75,1,87,5,0.91,West
71,Female,63,Basic,7,671.05,0,3,4,0.21,West
72,Female,31,Basic,2,622.06,1,75,4,0.46,South
73,Male,21,Gold,2,747.12,0,29,5,0.43,East
74,Female,47,Silver,4,707.22,0,48,5,0.49,West
75,Male,48,Gold,2,503.97,0,82,3,0.98,East
76,Female,55,Basic,4,552.89,0,62,5,0.52,South
77,Female,28,Silver,4,488.18,1,25,1,0.83,East
78,Female,52,Basic,2,360.52,0,34,5,0.66,South
79,Male,25,Silver,2,657.55,0,18,3,0.11,North
80,Female,20,Gold,7,624.87,0,65,3,0.7,East
81,Male,31,Silver,1,508.76,0,28,5,0.65,South
82,Female,30,Basic,7,720.8,1,4,3,0.76,West
83,Male,62,Basic,1,549.05,0,21,3,0.07,North
84,Female,49,Basic,4,784.91,1,70,4,0.24,West
85,Male,51,Silver,6,576.81,0,21,4,0.77,North
86,Male,62,Platinum,7,405.79,1,20,1,0.37,North
87,Female,36,Basic,4,828.38,0,41,4,0.91,East
88,Male,55,Gold,5,654.81,0,53,4,0.52,West
89,Female,33,Gold,4,458.0,1,62,3,0.0,West
90,Female,19,Silver,1,539.66,0,31,4,0.7,North
91,Female,57,Silver,3,475.57,1,25,3,0.51,North
92,Female,34,Gold,3,748.68,1,69,3,0.32,North
93,Female,51,Basic,2,287.67,1,72,4,0.02,South
94,Female,59,Basic,2,641.74,1,17,5,0.2,East
95,Female,33,Basic,6,342.3,0,79,4,0.16,North
96,Female,55,Platinum,6,317.2,1,20,2,0.58,East
97,Female,19,Platinum,5,661.58,0,45,4,0.77,North
98,Female,19,Gold,7,418.42,1,50,5,0.23,South
99,Female,43,Basic,7,704.59,1,51,4,0.7,North
100,Male,30,Silver,5,744.62,0,72,4,0.9,East
101,Male,64,Basic,3,532.94,0,78,5,0.62,North
102,Female,48,Basic,3,673.29,0,33,4,0.78,East
103,Female,51,Silver,5,821.04,1,29,5,0.2,West
104,Female,56,Platinum,5,456.24,0,22,4,0.07,East
105,Female,20,Platinum,2,729.25,0,67,3,0.37,South
106,Female,25,Silver,7,483.31,0,87,3,0.71,North
107,Female,40,Basic,4,600.51,0,3,4,0.69,West
108,Female,31,Basic,4,506.61,0,6,4,0.96,East
109,Female,44,Basic,3,512.16,1,40,3,0.63,West
110,Male,46,Gold,6,546.06,0,87,1,0.41,South
111,Female,56,Gold,4,510.13,0,76,5,0.8,West
112,Male,56,Basic,5,580.3,0,69,5,0.15,West
113,Female,18,Silver,2,775.29,0,5,4,0.81,East
114,Female,34,Basic,9,393.39,1,3,4,0.37,South
115,Male,58,Basic,4,664.29,0,4,3,0.15,North
116,Female,47,Silver,6,438.24,0,63,4,0.16,North
117,Male,30,Basic,4,447.41,1,88,3,0.98,North
118,Female,38,Silver,4,321.72,0,5,4,0.62,North
119,Female,36,Gold,9,761.47,0,61,4,0.17,North
120,Male,36,Silver,4,563.8,0,57,4,0.27,West
121,Female,42,Basic,3,465.15,0,42,3,0.37,North
122,Male,39,Basic,5,619.47,1,83,1,0.06,West
123,Female,48,Silver,1,547.65,1,56,5,0.11,East
124,Male,34,Basic,3,765.2,1,72,1,0.76,East
125,Male,40,Basic,5,447.33,1,28,3,0.79,South
126,Female,49,Silver,4,578.79,1,55,3,0.99,North
127,Female,27,Silver,3,727.57,1,38,3,0.07,West
128,Male,27,Gold,1,440.19,0,23,4,0.89,North
129,Female,53,Basic,3,530.81,0,7,4,0.32,West
130,Female,25,Gold,5,408.36,0,38,3,0.33,East
131,Female,37,Basic,5,469.75,0,77,2,0.13,South
132,Male,49,Basic,1,366.86,0,57,2,0.99,South
133,Male,31,Silver,4,440.9,1,85,4,0.98,South
134,Male,45,Silver,8,403.56,0,37,5,0.86,North
135,Male,63,Platinum,4,499.82,1,6,2,0.09,West
136,Male,41,Gold,1,745.81,0,10,4,0.84,North
137,Male,32,Platinum,5,642.0,0,27,5,0.63,South
138,Male,39,Platinum,7,794.57,0,57,3,0.13,North
139,Male,47,Silver,4,541.91,0,16,4,0.26,North
140,Male,21,Silver,5,465.44,1,59,4,0.69,North
141,Female,30,Silver,3,580.91,1,28,4,0.8,North
142,Male,40,Platinum,2,508.87,0,3,5,0.85,West
143,Female,25,Gold,7,661.6,1,57,3,0.54,West
144,Female,35,Basic,2,374.32,1,65,3,0.53,South
145,Female,29,Gold,4,589.15,0,67,4,0.68,South
146,Male,48,Basic,4,825.56,0,30,2,0.78,East
147,Male,31,Silver,4,461.83,0,19,3,0.17,West
148,Male,51,Basic,3,533.83,0,8,5,0.74,North
149,Male,35,Silver,3,340.92,1,62,4,0.34,West
150,Female,51,Gold,4,766.41,0,19,3,0.38,North
151,Male,28,Basic,2,585.27,0,36,3,0.08,North
152,Male,58,Basic,2,521.99,0,69,3,0.59,East
153,Male,29,Basic,5,607.11,1,60,3,0.09,East
154,Male,32,Silver,4,589.35,0,34,5,0.91,East
155,Male,48,Basic,3,494.88,0,55,5,0.62,East
156,Female,46,Basic,2,389.31,0,27,4,0.99,North
157,Male,43,Basic,7,623.09,1,39,2,0.25,North
158,Female,35,Silver,2,602.22,1,42,5,0.68,West
159,Male,49,Basic,1,541.84,1,42,5,0.96,North
160,Female,39,Gold,5,554.17,0,88,5,0.3,West
161,Male,55,Basic,5,762.09,0,48,4,0.1,West
162,Male,34,Silver,1,643.61,1,31,4,0.63,East
163,Female,40,Basic,4,401.1,1,22,4,0.37,West
164,Female,41,Silver,9,793.41,0,87,1,0.27,South
165,Female,25,Basic,4,702.11,0,41,4,0.99,South
166,Male,58,Gold,2,691.39,0,24,4,0.75,North
167,Female,23,Platinum,3,481.01,0,40,4,0.49,South
168,Male,22,Platinum,5,728.07,1,32,4,0.05,East
169,Male,61,Silver,5,627.08,0,51,4,0.19,East
170,Female,46,Silver,8,425.75,1,33,4,0.3,West
171,Female,45,Gold,0,643.17,0,28,2,0.49,North
172,Male,28,Silver,2,742.78,0,81,5,0.5,South
173,Male,18,Basic,2,685.23,0,82,4,0.02,North
174,Female,60,Gold,4,330.01,0,79,4,0.94,West
175,Female,36,Silver,7,659.93,1,63,3,0.54,East
176,Female,26,Basic,3,545.43,1,22,5,0.02,West
177,Male,44,Basic,7,317.25,1,18,4,0.7,South
178,Male,51,Basic,5,697.4,0,85,4,0.07,East
179,Male,61,Silver,5,702.45,0,83,5,0.72,South
180,Male,21,Basic,3,595.31,0,2,5,0.7,North
181,Male,53,Basic,4,447.04,0,89,4,0.98,East
182,Male,35,Basic,3,809.06,0,26,3,0.34,North
183,Female,32,Silver,9,682.15,0,39,5,0.14,East
184,Male,30,Gold,5,690.62,0,17,5,0.09,South
185,Male,36,Basic,4,738.23,0,16,2,0.07,South
186,Male,23,Basic,7,781.86,0,27,4,0.81,West
187,Female,29,Basic,10,648.43,1,49,4,0.72,West
188,Male,54,Platinum,3,429.24,0,3,2,0.98,East
189,Male,34,Silver,3,497.1,0,42,3,0.31,East
190,Female,40,Silver,1,522.07,1,63,4,0.8,East
191,Male,43,Basic,1,782.37,0,29,5,0.09,West
192,Male,46,Gold,6,632.24,1,2,1,0.9,South
193,Male,50,Silver,3,497.35,1,14,5,0.05,North
194,Male,44,Basic,6,570.13,0,12,5,0.79,North
195,Male,42,Basic,3,798.41,0,24,5,0.31,East
196,Female,27,Basic,4,692.17,0,28,3,0.18,North
197,Female,64,Gold,5,756.41,1,18,4,0.7,North
198,Female,40,Gold,1,432.66,1,89,3,0.9,North
199,Male,38,Silver,5,568.59,0,6,5,0.76,West
200,Male,38,Gold,3,503.85,0,30,4,0.31,West
201,Male,60,Basic,7,825.28,1,34,2,0.35,North
202,Female,30,Silver,6,579.33,1,83,3,0.19,South
203,Male,54,Silver,3,513.92,1,58,4,0.82,South
204,Male,50,Basic,2,299.07,1,28,5,0.11,West
205,Female,41,Gold,2,811.6,0,72,4,0.9,South
206,Male,61,Basic,4,818.89,1,75,4,0.6,East
207,Female,28,Basic,2,292.12,0,53,2,0.59,East
208,Female,34,Silver,2,631.88,0,16,5,0.84,South
209,Female,21,Silver,6,741.98,0,26,4,0.67,North
210,Male,64,Silver,6,671.56,1,65,5,0.3,South
211,Male,42,Basic,4,534.59,0,57,3,0.35,North
212,Male,47,Gold,6,458.07,1,31,4,0.17,North
213,Male,26,Silver,3,775.22,0,27,4,0.46,South
214,Male,38,Silver,1,715.6,1,49,2,0.11,East
215,Male,37,Platinum,5,695.68,0,9,3,0.65,North
216,Male,36,Gold,3,775.71,1,26,2,0.17,North
217,Female,36,Basic,4,927.93,1,6,3,0.86,West
218,Male,29,Gold,5,551.13,0,7,4,0.7,South
219,Female,54,Basic,7,551.42,0,13,3,0.89,West
220,Male,59,Basic,2,539.33,1,49,4,0.09,North
221,Male,34,Silver,4,461.6,0,10,4,0.8,North
222,Male,54,Platinum,2,779.16,0,43,4,0.88,West
223,Female,56,Basic,4,801.64,1,49,3,0.04,South
224,Female,45,Silver,3,759.81,1,18,4,1.0,West
225,Female,58,Basic,5,850.04,0,11,3,0.3,West
226,Female,52,Gold,6,615.21,0,10,3,0.21,North
227,Male,64,Silver,1,656.34,1,28,4,0.41,East
228,Female,35,Silver,3,697.87,1,85,2,0.01,East
229,Male,31,Basic,1,537.01,1,53,5,0.89,East
230,Male,52,Gold,5,439.49,0,54,5,0.27,South
231,Female,61,Platinum,6,621.76,1,25,4,0.52,West
232,Female,58,Silver,2,530.01,0,6,3,0.62,South
233,Female,24,Silver,4,925.36,0,11,4,0.79,East
234,Female,58,Platinum,2,376.58,0,33,4,0.25,South
235,Female,30,Basic,7,591.15,1,69,3,0.72,South
236,Female,35,Gold,2,643.4,1,46,3,0.12,South
237,Female,54,Gold,1,475.51,1,88,3,0.7,East
238,Female,30,Basic,3,531.13,1,77,3,0.92,South
239,Male,53,Silver,9,609.07,0,55,4,0.09,South
240,Female,48,Basic,6,426.02,0,70,5,0.12,East
241,Female,19,Silver,4,661.21,0,51,3,0.56,East
242,Male,33,Silver,4,836.65,0,25,2,0.05,South
243,Female,26,Basic,3,543.17,1,23,1,0.19,West
244,Male,26,Silver,4,715.21,0,50,3,0.19,South
245,Male,55,Basic,3,856.18,1,46,3,0.48,North
246,Female,28,Basic,6,751.01,0,77,3,0.25,East
247,Male,39,Basic,6,490.94,1,44,3,0.48,West
248,Male,50,Gold,5,369.35,0,13,4,0.52,North
249,Male,53,Basic,0,553.34,0,71,4,0.73,North
250,Male,62,Gold,2,608.86,0,48,5,0.95,North
251,Female,40,Silver,2,289.55,0,17,4,0.5,West
252,Male,62,Basic,4,604.2,0,73,3,0.36,North
253,Female,62,Gold,10,476.02,0,14,5,0.26,East
254,Male,51,Silver,3,582.15,0,30,3,0.63,West
255,Male,26,Silver,9,553.25,0,30,4,0.94,East
256,Male,41,Basic,11,568.99,1,33,2,0.76,West
257,Male,25,Basic,1,712.75,1,54,1,0.21,East
258,Female,24,Basic,4,450.1,0,57,4,0.89,West
259,Female,53,Basic,2,325.56,1,89,2,0.74,North
260,Male,35,Basic,4,724.45,1,31,3,0.13,East
261,Male,20,Basic,2,697.04,1,23,3,0.71,East
262,Female,45,Basic,1,680.71,0,52,5,0.29,East
263,Male,23,Basic,4,467.18,0,54,3,0.49,South
264,Male,61,Basic,3,691.63,1,47,4,0.3,North
265,Male,61,Basic,4,407.97,0,49,5,0.08,East
266,Female,38,Platinum,4,554.8,0,84,3,0.77,East
267,Female,45,Basic,7,827.58,0,56,5,0.83,West
268,Female,57,Silver,3,689.64,0,8,5,0.23,North
269,Male,18,Basic,4,589.06,1,22,5,0.24,North
270,Male,53,Platinum,3,578.4,1,62,3,0.43,East
271,Female,38,Basic,9,434.75,0,54,3,0.81,South
272,Female,60,Platinum,6,843.03,0,35,4,0.08,East
273,Female,52,Silver,7,751.62,0,88,2,0.81,South
274,Female,30,Basic,3,719.71,0,15,1,0.92,North
275,Male,27,Gold,5,586.08,0,5,3,0.56,North
276,Female,61,Silver,5,545.35,1,86,4,0.06,South
277,Male,64,Basic,6,486.09,0,17,2,0.27,North
278,Female,27,Gold,2,814.68,0,3,4,0.11,West
279,Male,63,Platinum,3,328.05,0,19,3,0.26,South
280,Female,30,Silver,1,684.99,0,81,4,0.81,West
281,Female,54,Basic,1,363.6,0,37,4,0.06,East
282,Female,55,Gold,6,569.59,0,21,2,0.28,East
283,Female,41,Silver,5,596.26,0,51,3,0.52,West
284,Male,19,Gold,0,408.02,1,54,3,0.87,North
285,Female,39,Silver,3,471.81,0,11,3,0.25,West
286,Male,34,Basic,7,709.32,0,65,4,0.78,North
287,Male,53,Platinum,3,821.79,1,30,5,0.58,West
288,Male,31,Basic,6,646.87,1,43,4,0.68,West
289,Male,27,Basic,8,496.9,0,36,5,0.86,North
290,Female,52,Silver,2,454.83,0,57,5,0.03,West
291,Male,42,Silver,2,488.92,1,26,4,0.53,South
292,Male,20,Basic,7,596.68,1,82,3,0.75,North
293,Male,64,Gold,3,638.69,0,60,5,0.88,East
294,Female,55,Basic,4,784.18,0,22,4,0.13,East
295,Female,34,Silver,3,589.02,0,24,5,0.34,West
296,Female,29,Gold,2,500.6,0,12,4,0.08,East
297,Female,41,Basic,4,430.89,1,75,5,0.83,South
298,Male,46,Basic,0,568.66,0,60,5,0.86,East
299,Male,60,Basic,8,352.72,0,21,5,0.48,East
300,Female,42,Platinum,5,509.34,0,80,4,0.02,North
301,Male,53,Basic,2,411.01,0,36,4,0.1,West
302,Male,43,Basic,4,561.09,0,7,5,0.62,East
303,Male,55,Silver,2,668.4,0,61,5,0.98,West
304,Female,18,Silver,2,657.04,1,53,3,0.84,North
305,Female,37,Basic,3,702.6,1,28,4,0.8,East
306,Male,45,Silver,6,461.29,0,24,4,0.42,East
307,Female,33,Basic,8,812.66,0,53,1,0.99,North
308,Female,64,Platinum,5,699.91,0,13,3,0.82,North
309,Female,34,Basic,5,694.42,1,78,3,0.34,East
310,Female,57,Basic,3,768.9,1,72,5,0.75,South
311,Female,45,Silver,1,626.48,0,1,3,0.43,West
312,Male,29,Basic,1,582.65,0,81,4,0.66,West
313,Female,44,Silver,6,802.26,1,41,5,0.97,West
314,Male,59,Basic,3,474.65,0,59,3,0.25,South
315,Male,64,Basic,5,568.26,1,13,2,0.8,West
316,Female,47,Gold,5,773.57,1,54,5,0.59,North
317,Male,58,Silver,2,568.69,1,47,4,0.95,North
318,Male,51,Silver,5,511.88,0,27,3,0.13,East
319,Male,54,Basic,7,458.34,0,77,5,0.72,South
320,Female,23,Basic,6,635.72,0,40,5,0.04,South
321,Female,24,Basic,3,535.68,1,32,5,0.25,East
322,Male,49,Basic,4,673.35,0,58,3,0.32,South
323,Female,49,Silver,5,846.27,0,76,3,0.43,West
324,Female,42,Gold,1,760.92,0,43,4,0.97,East
325,Female,50,Basic,4,251.41,0,52,3,0.07,West
326,Female,24,Basic,6,707.58,1,77,2,0.17,West
327,Male,29,Basic,7,718.12,1,80,2,0.2,East
328,Male,33,Basic,5,555.28,1,34,4,0.42,North
329,Female,33,Basic,3,786.62,1,6,3,0.06,East
330,Female,60,Platinum,1,644.23,0,48,1,0.97,South
331,Male,53,Silver,4,308.46,1,18,5,0.56,West
332,Male,30,Platinum,5,621.26,0,81,3,0.81,West
333,Female,24,Gold,3,559.27,0,39,3,0.77,South
334,Male,53,Silver,7,505.69,0,78,4,0.66,East
335,Female,64,Silver,5,654.42,1,7,4,0.9,North
336,Female,26,Basic,1,697.6,0,6,4,0.9,South
337,Male,49,Silver,11,700.38,1,76,1,0.13,North
338,Male,28,Platinum,1,704.93,1,53,1,0.9,West
339,Female,25,Basic,3,426.65,0,1,4,0.52,East
340,Female,50,Gold,3,440.78,0,29,5,0.27,East
341,Male,40,Basic,3,640.42,1,69,3,0.61,West
342,Female,42,Gold,4,761.71,0,85,4,0.28,South
343,Male,25,Platinum,1,653.03,1,85,3,0.48,West
344,Female,62,Silver,2,284.12,0,88,3,0.82,South
345,Male,39,Silver,3,682.06,1,49,2,0.03,West
346,Male,21,Silver,6,366.37,1,59,5,0.18,North
347,Male,57,Gold,6,702.84,0,13,3,0.96,East
348,Female,20,Platinum,3,516.35,0,45,3,0.45,North
349,Female,46,Gold,6,645.37,0,46,4,0.3,South
350,Male,58,Silver,3,915.55,0,23,3,0.92,South
351,Female,46,Silver,6,547.03,1,32,3,0.91,West
352,Male,51,Gold,5,486.8,0,72,2,0.04,North
353,Male,51,Silver,2,534.88,1,75,5,0.36,East
354,Female,45,Gold,3,374.62,1,13,3,0.91,South
355,Female,30,Silver,2,449.39,1,53,5,0.18,West
356,Male,32,Basic,3,759.8,0,20,3,0.58,East
357,Female,40,Basic,5,304.03,0,1,1,0.32,West
358,Female,61,Silver,4,505.87,1,57,5,0.74,South
359,Male,43,Basic,3,635.94,1,66,4,0.16,East
360,Male,21,Basic,1,538.57,0,11,3,0.6,West
361,Female,43,Silver,3,802.46,0,46,4,0.0,South
362,Male,57,Basic,6,574.98,0,30,3,0.25,West
363,Male,26,Basic,3,549.16,1,69,4,0.16,West
364,Female,22,Gold,1,622.38,1,7,4,0.21,West
365,Male,49,Platinum,4,640.76,0,24,2,0.86,East
366,Male,37,Gold,1,600.01,1,48,5,0.91,East
367,Female,28,Platinum,7,589.26,0,43,4,0.76,South
368,Female,32,Silver,5,306.91,1,79,3,0.59,West
369,Male,49,Basic,4,430.48,1,36,3,0.23,East
370,Male,45,Silver,5,686.56,1,74,5,0.27,East
371,Female,39,Gold,3,751.17,1,1,3,0.31,West
372,Female,58,Basic,2,791.6,0,7,4,0.78,South
373,Female,34,Basic,1,383.45,1,44,5,0.25,North
374,Female,43,Gold,1,474.39,1,61,4,0.97,West
375,Male,61,Basic,6,824.45,1,26,4,0.8,South
376,Female,24,Silver,4,542.86,0,30,3,1.0,North
377,Female,59,Basic,3,692.66,0,1,4,0.46,South
378,Male,43,Silver,6,1105.12,0,63,3,0.59,North
379,Female,42,Silver,4,757.47,0,15,5,0.28,North
380,Male,27,Basic,5,567.55,0,63,2,0.6,South
381,Female,62,Basic,3,578.87,0,55,3,0.97,East
382,Female,36,Silver,6,678.99,1,57,2,0.03,South
383,Female,28,Gold,4,311.91,1,20,3,0.29,North
384,Male,30,Gold,5,666.17,0,22,2,0.28,West
385,Male,25,Silver,7,558.49,0,89,5,0.98,North
386,Female,57,Gold,4,588.39,1,50,5,0.13,North
387,Male,21,Basic,3,615.87,0,36,4,0.81,South
388,Male,64,Basic,8,834.86,1,37,2,0.27,North
389,Male,48,Basic,3,638.47,1,46,3,0.86,West
390,Male,45,Silver,6,635.21,0,27,5,0.49,East
391,Male,28,Basic,6,707.26,1,19,2,0.24,West
392,Male,60,Basic,2,610.92,0,83,4,0.71,East
393,Female,18,Silver,1,699.25,0,16,3,0.84,West
394,Female,64,Gold,5,583.01,1,54,5,0.47,East
395,Male,55,Basic,4,774.5,1,85,3,0.71,South
396,Female,41,Basic,6,791.76,1,34,1,0.18,East
397,Female,64,Silver,4,700.89,1,79,4,0.94,South
398,Female,48,Silver,7,256.07,1,51,3,0.1,West
399,Female,58,Silver,5,626.29,1,36,4,0.22,North
400,Male,63,Basic,4,311.38,1,53,2,0.29,South
401,Female,43,Silver,2,657.23,1,62,4,0.15,East
402,Female,22,Gold,2,840.5,0,31,3,0.41,South
403,Male,37,Basic,6,771.37,1,89,4,0.46,South
404,Male,58,Platinum,5,559.69,0,4,5,0.52,South
405,Female,28,Basic,2,575.98,0,12,5,0.04,South
406,Female,50,Basic,1,324.19,0,53,5,0.22,North
407,Female,55,Silver,5,602.0,0,61,5,0.81,South
408,Female,44,Basic,2,569.29,0,19,4,0.81,West
409,Female,51,Basic,7,411.58,0,56,2,0.33,South
410,Female,32,Silver,4,452.82,0,9,4,0.46,South
411,Male,49,Gold,3,420.27,0,25,2,0.18,North
412,Female,38,Platinum,3,922.17,0,54,3,0.82,West
413,Female,63,Silver,4,617.91,1,47,4,0.96,North
414,Male,22,Basic,4,713.1,1,41,4,0.29,North
415,Male,23,Silver,2,737.39,0,51,3,0.78,West
416,Male,55,Silver,5,841.81,1,50,5,0.35,West
417,Male,39,Gold,8,837.07,0,7,5,0.0,South
418,Female,35,Gold,4,741.61,0,27,4,0.6,West
419,Female,31,Gold,6,371.78,1,48,4,0.41,South
420,Female,27,Silver,3,742.93,1,55,3,0.76,North
421,Female,63,Silver,3,540.06,1,63,5,0.75,South
422,Female,30,Basic,5,410.52,0,6,3,0.95,South
423,Female,48,Platinum,5,544.18,0,35,5,0.44,West
424,Male,47,Basic,3,622.97,0,32,5,0.48,North
425,Female,20,Basic,4,215.23,0,78,4,0.4,West
426,Male,47,Basic,4,660.09,0,6,5,0.3,North
427,Male,23,Gold,2,770.52,0,63,4,0.64,East
428,Female,46,Silver,3,613.01,0,18,5,0.83,North
429,Male,25,Silver,6,437.67,0,31,4,0.16,North
430,Female,61,Platinum,4,691.49,0,52,3,0.98,North
431,Male,62,Platinum,4,595.95,0,16,1,0.68,North
432,Female,60,Basic,4,861.22,0,56,4,0.78,South
433,Male,61,Basic,5,255.3,1,67,5,1.0,West
434,Female,50,Gold,3,213.65,1,62,5,0.5,North
435,Female,34,Platinum,6,585.14,0,81,5,0.07,South
436,Female,28,Silver,0,530.86,0,52,3,0.79,West
437,Female,30,Silver,3,640.41,0,5,3,0.87,South
438,Female,28,Basic,2,662.55,0,53,4,0.16,North
439,Male,48,Gold,6,827.93,0,80,4,0.02,West
440,Male,45,Silver,5,563.85,0,17,3,0.14,North
441,Male,61,Silver,5,667.48,0,31,4,0.32,East
442,Female,23,Basic,5,402.69,0,16,4,0.92,South
443,Male,58,Platinum,6,969.76,0,57,4,0.0,North
444,Female,33,Silver,5,765.9,1,21,4,0.8,West
445,Female,21,Basic,2,732.38,0,41,4,0.85,West
446,Male,52,Silver,5,478.94,1,39,3,0.81,South
447,Male,43,Silver,6,804.36,1,37,5,0.08,East
448,Female,29,Silver,7,751.99,0,41,3,0.68,North
449,Male,28,Gold,5,695.93,0,53,4,0.95,West
450,Female,54,Silver,3,584.66,0,74,3,0.12,East
451,Female,42,Platinum,5,442.28,0,32,4,0.03,West
452,Female,35,Basic,3,591.52,0,25,5,0.87,South
453,Female,36,Basic,5,481.91,0,53,1,0.64,West
454,Female,40,Basic,4,657.5,0,64,5,0.65,East
455,Male,55,Silver,3,434.87,0,33,1,0.96,West
456,Male,35,Silver,4,492.35,0,38,1,0.77,East
457,Female,43,Gold,5,287.49,1,79,5,0.4,South
458,Female,23,Gold,1,679.79,1,8,4,0.44,South
459,Male,21,Silver,3,664.92,1,1,2,0.14,South
460,Male,61,Platinum,4,524.07,0,74,5,0.3,West
461,Female,46,Basic,3,234.02,0,59,4,0.45,South
462,Male,51,Gold,4,346.85,0,35,2,0.26,South
463,Female,34,Silver,4,615.08,1,16,5,0.92,South
464,Male,60,Silver,2,750.08,1,14,4,0.01,East
465,Female,60,Gold,6,451.37,0,5,3,0.59,South
466,Male,33,Silver,2,781.45,1,80,5,0.77,West
467,Female,19,Basic,2,851.93,1,21,4,0.73,West
468,Male,51,Silver,3,668.2,1,58,4,0.64,South
469,Male,25,Silver,6,756.47,1,57,5,0.41,West
470,Female,30,Gold,5,431.09,0,11,5,0.92,South
471,Male,59,Silver,6,332.85,0,71,3,0.33,South
472,Female,25,Platinum,6,879.15,0,8,5,0.75,West
473,Male,47,Silver,7,451.47,1,81,3,0.93,North
474,Female,49,Silver,4,772.76,1,14,3,0.13,West
475,Male,53,Gold,1,662.92,1,49,5,0.95,East
