Season,Competition,Matchday,Date,Venue,Club,Opponent,Match_Result,Playing_Position,Type,Goal_assist,Total_Minutes_Match_Played,Ronaldo Team Goals,Opponent Team Goals
06/07,Premier League,Early Rounds,1/13/07,Home,Manchester United,Aston Villa,3-01,Unknown,Header,Michael Carrick,34.0,3,01
06/07,Premier League,Early Rounds,1/31/07,Home,Manchester United,Watford FC,4-00,RW,Penalty,Unknown,12.0,4,00
06/07,Premier League,Early Rounds,02/03/07,Away,Manchester United,Tottenham Hotspur,0-04,RW,Penalty,Unknown,45.0,0,04
06/07,Premier League,Early Rounds,2/24/07,Away,Manchester United,Fulham FC,1-02,Unknown,Solo run,Unknown,88.0,1,02
06/07,FA Cup,Sixth Round,03/10/07,Away,Manchester United,Middlesbrough FC,2-02,RW,Penalty,Unknown,68.0,2,02
06/07,FA Cup,Sixth Round,3/19/07,Home,Manchester United,Middlesbrough FC,1-00,Unknown,Penalty,Unknown,76.0,1,00
06/07,UEFA Champions League,Quarter-Finals,04/10/07,Home,Manchester United,AS Roma,7-01,RW,Right-footed shot,Ryan Giggs,44.0,7,01
06/07,UEFA Champions League,Quarter-Finals,04/10/07,Home,Manchester United,AS Roma,7-01,RW,Right-footed shot,Ryan Giggs,49.0,7,01
06/07,FA Cup,Semi-Finals,4/14/07,Away,Manchester United,Watford FC,1-04,Unknown,Right-footed shot,Wayne Rooney,28.0,1,04
06/07,UEFA Champions League,Semi-Finals,4/24/07,Home,Manchester United,AC Milan,3-02,RW,Header,Ryan Giggs,5.0,3,02
06/07,Premier League,Early Rounds,05/05/07,Away,Manchester United,Manchester City,0-01,RW,Penalty,Unknown,34.0,0,01
07/08,UEFA Champions League,Group Stage,9/19/07,Away,Manchester United,Sporting CP,0-01,RW,Header,Wes Brown,62.0,0,01
07/08,Premier League,Early Rounds,9/29/07,Away,Manchester United,Birmingham City,0-01,RW,Unknown,Unknown,51.0,0,01
07/08,Premier League,Early Rounds,10/06/07,Home,Manchester United,Wigan Athletic,4-00,RW,Header,Ryan Giggs,59.0,4,00
07/08,Premier League,Early Rounds,10/06/07,Home,Manchester United,Wigan Athletic,4-00,RW,Right-footed shot,Wayne Rooney,76.0,4,00
07/08,UEFA Champions League,Group Stage,10/23/07,Away,Manchester United,Dynamo Kyiv,2-04,RW,Penalty,Unknown,41.0,2,04
07/08,UEFA Champions League,Group Stage,10/23/07,Away,Manchester United,Dynamo Kyiv,2-04,RW,Header,Ryan Giggs,68.0,2,04
07/08,Premier League,Early Rounds,11/03/07,Away,Manchester United,Arsenal FC,2-02,RW,Unknown,Patrice Evra,82.0,2,02
07/08,UEFA Champions League,Group Stage,11/07/07,Home,Manchester United,Dynamo Kyiv,4-00,RW,Right-footed shot,Patrice Evra,88.0,4,00
07/08,Premier League,Early Rounds,11/11/07,Home,Manchester United,Blackburn Rovers,2-00,RW,Header,Ryan Giggs,34.0,2,00
07/08,Premier League,Early Rounds,11/11/07,Home,Manchester United,Blackburn Rovers,2-00,RW,Right-footed shot,Carlos Tevez,35.0,2,00
07/08,UEFA Champions League,Group Stage,11/27/07,Home,Manchester United,Sporting CP,2-01,RW,Direct free kick,Unknown,93.0,2,01
07/08,Premier League,Early Rounds,12/03/07,Home,Manchester United,Fulham FC,2-00,Unknown,Right-footed shot,Nemanja Vidicâ€Ž,10.0,2,00
07/08,Premier League,Early Rounds,12/03/07,Home,Manchester United,Fulham FC,2-00,Unknown,Header,John OShea,58.0,2,00
07/08,Premier League,Early Rounds,12/08/07,Home,Manchester United,Derby County,4-01,Unknown,Penalty,Unknown,90.0,4,01
07/08,Premier League,Early Rounds,12/23/07,Home,Manchester United,Everton FC,2-01,RW,Left-footed shot,Carlos Tevez,22.0,2,01
07/08,Premier League,Early Rounds,12/23/07,Home,Manchester United,Everton FC,2-01,RW,Penalty,Unknown,87.0,2,01
07/08,Premier League,Early Rounds,12/26/07,Away,Manchester United,Sunderland AFC,0-04,Unknown,Direct free kick,Unknown,45.0,0,04
07/08,Premier League,Early Rounds,12/29/07,Away,Manchester United,West Ham United,2-01,RW,Header,Ryan Giggs,14.0,2,01
07/08,FA Cup,Third Round,01/05/08,Away,Manchester United,Aston Villa,0-02,Unknown,Left-footed shot,Ryan Giggs,81.0,0,02
07/08,Premier League,Early Rounds,01/12/08,Home,Manchester United,Newcastle United,6-00,RW,Direct free kick,Unknown,48.0,6,00
07/08,Premier League,Early Rounds,01/12/08,Home,Manchester United,Newcastle United,6-00,RW,Right-footed shot,Carlos Tevez,70.0,6,00
07/08,Premier League,Early Rounds,01/12/08,Home,Manchester United,Newcastle United,6-00,RW,Left-footed shot,Unknown,88.0,6,00
07/08,Premier League,Early Rounds,1/19/08,Away,Manchester United,Reading FC,0-02,RW,Right-footed shot,Unknown,92.0,0,02
07/08,FA Cup,Fourth Round,1/27/08,Home,Manchester United,Tottenham Hotspur,3-01,RW,Penalty,Unknown,69.0,3,01
07/08,FA Cup,Fourth Round,1/27/08,Home,Manchester United,Tottenham Hotspur,3-01,RW,Right-footed shot,Ryan Giggs,88.0,3,01
07/08,Premier League,Early Rounds,1/30/08,Home,Manchester United,Portsmouth FC,2-00,RW,Right-footed shot,Nani,10.0,2,00
07/08,Premier League,Early Rounds,1/30/08,Home,Manchester United,Portsmouth FC,2-00,RW,Direct free kick,Unknown,12.0,2,00
07/08,Premier League,Early Rounds,2/23/08,Away,Manchester United,Newcastle United,1-05,RW,Right-footed shot,Michael Carrick,45.0,1,05
07/08,Premier League,Early Rounds,2/23/08,Away,Manchester United,Newcastle United,1-05,RW,Right-footed shot,Unknown,56.0,1,05
07/08,UEFA Champions League,Last 16,03/04/08,Home,Manchester United,Olympique Lyon,1-00,RW,Left-footed shot,Unknown,41.0,1,00
07/08,Premier League,Early Rounds,3/15/08,Away,Manchester United,Derby County,0-01,Unknown,Right-footed shot,Wayne Rooney,76.0,0,01
07/08,Premier League,Early Rounds,3/19/08,Home,Manchester United,Bolton Wanderers,2-00,Unknown,Right-footed shot,Unknown,8.0,2,00
07/08,Premier League,Early Rounds,3/19/08,Home,Manchester United,Bolton Wanderers,2-00,Unknown,Direct free kick,Unknown,19.0,2,00
07/08,Premier League,Early Rounds,3/23/08,Home,Manchester United,Liverpool FC,3-00,RW,Header,Nani,79.0,3,00
07/08,Premier League,Early Rounds,3/29/08,Home,Manchester United,Aston Villa,4-00,RW,Right-footed shot,Unknown,16.0,4,00
07/08,UEFA Champions League,Quarter-Finals,04/01/08,Away,Manchester United,AS Roma,0-02,RW,Header,Paul Scholes,39.0,0,02
07/08,Premier League,Early Rounds,04/06/08,Away,Manchester United,Middlesbrough FC,2-02,RW,Left-footed shot,Michael Carrick,9.0,2,02
07/08,Premier League,Early Rounds,4/13/08,Home,Manchester United,Arsenal FC,2-01,RW,Penalty,Unknown,53.0,2,01
07/08,Premier League,Early Rounds,05/03/08,Home,Manchester United,West Ham United,4-01,RW,Right-footed shot,Edwin van der Sar,3.0,4,01
07/08,Premier League,Early Rounds,05/03/08,Home,Manchester United,West Ham United,4-01,RW,Right-footed shot,Owen Hargreaves,24.0,4,01
07/08,Premier League,Early Rounds,05/11/08,Away,Manchester United,Wigan Athletic,0-02,RW,Penalty,Unknown,32.0,0,02
07/08,UEFA Champions League,Final,5/21/08,Home,Manchester United,Chelsea FC,6-5 on pens,LW,Header,Wes Brown,26.0,6,5 on pens
08/09,EFL Cup,Third Round,9/23/08,Home,Manchester United,Middlesbrough FC,3-01,Unknown,Header,Ryan Giggs,25.0,3,01
08/09,Premier League,Early Rounds,9/27/08,Home,Manchester United,Bolton Wanderers,2-00,RW,Penalty,Unknown,59.0,2,00
08/09,Premier League,Early Rounds,10/18/08,Home,Manchester United,West Bromwich Albion,4-00,RW,Left-footed shot,Wayne Rooney,69.0,4,00
08/09,Premier League,Early Rounds,10/29/08,Home,Manchester United,West Ham United,2-00,RW,Left-footed shot,Nani,14.0,2,00
08/09,Premier League,Early Rounds,10/29/08,Home,Manchester United,West Ham United,2-00,RW,Right-footed shot,Dimitar Berbatov,30.0,2,00
08/09,Premier League,Early Rounds,11/01/08,Home,Manchester United,Hull City,4-03,RW,Left-footed shot,Dimitar Berbatov,3.0,4,03
08/09,Premier League,Early Rounds,11/01/08,Home,Manchester United,Hull City,4-03,RW,Header,Nani,43.0,4,03
08/09,Premier League,Early Rounds,11/15/08,Home,Manchester United,Stoke City,5-00,RW,Direct free kick,Unknown,3.0,5,00
08/09,Premier League,Early Rounds,11/15/08,Home,Manchester United,Stoke City,5-00,RW,Direct free kick,Unknown,88.0,5,00
08/09,FIFA Club World Cup,Semi-Finals,12/18/08,Away,Manchester United,Gamba Osaka,3-05,LW,Header,Ryan Giggs,46.0,3,05
08/09,EFL Cup,Semi-Finals,1/20/09,Home,Manchester United,Derby County,4-02,Unknown,Penalty,Unknown,89.0,4,02
08/09,Premier League,Early Rounds,1/27/09,Away,Manchester United,West Bromwich Albion,0-05,LW,Right-footed shot,Ryan Giggs,65.0,0,05
08/09,Premier League,Early Rounds,1/27/09,Away,Manchester United,West Bromwich Albion,0-05,LW,Right-footed shot,Dimitar Berbatov,73.0,0,05
08/09,Premier League,Early Rounds,1/31/09,Home,Manchester United,Everton FC,1-00,LW,Penalty,Unknown,43.0,1,00
08/09,FA Cup,Fifth Round,2/15/09,Away,Manchester United,Derby County,1-04,CF,Header,Ryan Giggs,68.0,1,04
08/09,Premier League,Early Rounds,2/21/09,Home,Manchester United,Blackburn Rovers,2-01,Unknown,Direct free kick,Unknown,60.0,2,01
08/09,UEFA Champions League,Last 16,03/11/09,Home,Manchester United,FC Internazionale,2-00,RW,Header,Wayne Rooney,49.0,2,00
08/09,Premier League,Early Rounds,3/14/09,Home,Manchester United,Liverpool FC,1-04,RW,Penalty,Unknown,22.0,1,04
08/09,Premier League,Early Rounds,04/05/09,Home,Manchester United,Aston Villa,3-02,RW,Direct free kick,Unknown,11.0,3,02
08/09,Premier League,Early Rounds,04/05/09,Home,Manchester United,Aston Villa,3-02,RW,Left-footed shot,Michael Carrick,80.0,3,02
08/09,UEFA Champions League,Quarter-Finals,4/15/09,Away,Manchester United,FC Porto,0-01,RW,Long distance kick,Anderson,6.0,0,01
08/09,Premier League,Early Rounds,4/25/09,Home,Manchester United,Tottenham Hotspur,5-02,RW,Penalty,Unknown,57.0,5,02
08/09,Premier League,Early Rounds,4/25/09,Home,Manchester United,Tottenham Hotspur,5-02,RW,Header,Wayne Rooney,68.0,5,02
08/09,UEFA Champions League,Semi-Finals,05/05/09,Away,Manchester United,Arsenal FC,1-03,CF,Direct free kick,Unknown,11.0,1,03
08/09,UEFA Champions League,Semi-Finals,05/05/09,Away,Manchester United,Arsenal FC,1-03,CF,Right-footed shot,Wayne Rooney,61.0,1,03
08/09,Premier League,Early Rounds,05/10/09,Home,Manchester United,Manchester City,2-00,RW,Direct free kick,Unknown,17.0,2,00
09/10,LaLiga,Early Rounds,8/29/09,Home,Real Madrid,Deportivo de La CoruÃ±a,3-02,RW,Penalty,Unknown,35.0,3,02
09/10,LaLiga,Early Rounds,09/12/09,Away,Real Madrid,RCD Espanyol Barcelona,0-03,Unknown,Right-footed shot,Guti,90.0,0,03
09/10,UEFA Champions League,Group Stage,9/15/09,Away,Real Madrid,FC ZÃ¼rich,2-05,CF,Direct free kick,Unknown,27.0,2,05
09/10,UEFA Champions League,Group Stage,9/15/09,Away,Real Madrid,FC ZÃ¼rich,2-05,CF,Direct free kick,Unknown,89.0,2,05
09/10,LaLiga,Early Rounds,9/20/09,Home,Real Madrid,Xerez CD,5-00,RW,Right-footed shot,Unknown,1.0,5,00
09/10,LaLiga,Early Rounds,9/20/09,Home,Real Madrid,Xerez CD,5-00,RW,Header,Esteban Granero,75.0,5,00
09/10,LaLiga,Early Rounds,9/23/09,Away,Real Madrid,Villarreal CF,0-02,CF,Right-footed shot,Unknown,2.0,0,02
09/10,UEFA Champions League,Group Stage,9/30/09,Home,Real Madrid,Olympique Marseille,3-00,CF,Left-footed shot,Pepe,58.0,3,00
09/10,UEFA Champions League,Group Stage,9/30/09,Home,Real Madrid,Olympique Marseille,3-00,CF,Right-footed shot,Karim Benzema,64.0,3,00
09/10,LaLiga,Early Rounds,12/05/09,Home,Real Madrid,UD Almeria,4-02,CF,Right-footed shot,Gonzalo Higuain,84.0,4,02
09/10,UEFA Champions League,Group Stage,12/08/09,Away,Real Madrid,Olympique Marseille,1-03,CF,Direct free kick,Unknown,5.0,1,03
09/10,UEFA Champions League,Group Stage,12/08/09,Away,Real Madrid,Olympique Marseille,1-03,CF,Right-footed shot,Lassana Diarra,80.0,1,03
09/10,LaLiga,Early Rounds,12/19/09,Home,Real Madrid,Real Zaragoza,6-00,CF,Left-footed shot,Ezequiel Garay,50.0,6,00
09/10,LaLiga,Early Rounds,1/24/10,Home,Real Madrid,Malaga CF,2-00,RW,Right-footed shot,Kaka,35.0,2,00
09/10,LaLiga,Early Rounds,1/24/10,Home,Real Madrid,Malaga CF,2-00,RW,Right-footed shot,Guti,39.0,2,00
09/10,LaLiga,Early Rounds,2/13/10,Away,Real Madrid,Xerez CD,0-03,Unknown,Header,Kaka,69.0,0,03
09/10,LaLiga,Early Rounds,2/13/10,Away,Real Madrid,Xerez CD,0-03,Unknown,Left-footed shot,Kaka,71.0,0,03
09/10,LaLiga,Early Rounds,2/21/10,Home,Real Madrid,Villarreal CF,6-02,Unknown,Direct free kick,Unknown,18.0,6,02
09/10,LaLiga,Early Rounds,2/27/10,Away,Real Madrid,CD Tenerife,1-05,Unknown,Penalty,Unknown,78.0,1,05
09/10,LaLiga,Early Rounds,03/06/10,Home,Real Madrid,Sevilla FC,3-02,CF,Left-footed shot,Unknown,59.0,3,02
09/10,UEFA Champions League,Last 16,03/10/10,Home,Real Madrid,Olympique Lyon,1-01,LW,Left-footed shot,Guti,6.0,1,01
09/10,LaLiga,Early Rounds,3/14/10,Away,Real Madrid,Real Valladolid CF,1-04,CF,Direct free kick,Unknown,29.0,1,04
09/10,LaLiga,Early Rounds,3/25/10,Away,Real Madrid,Getafe CF,2-04,Unknown,Direct free kick,Unknown,13.0,2,04
09/10,LaLiga,Early Rounds,3/25/10,Away,Real Madrid,Getafe CF,2-04,Unknown,Right-footed shot,Unknown,36.0,2,04
09/10,LaLiga,Early Rounds,04/04/10,Away,Real Madrid,Racing Santander,0-02,Unknown,Penalty,Unknown,23.0,0,02
09/10,LaLiga,Early Rounds,4/15/10,Away,Real Madrid,UD Almeria,1-02,Unknown,Left-footed shot,Unknown,26.0,1,02
09/10,LaLiga,Early Rounds,4/18/10,Home,Real Madrid,Valencia CF,2-00,CF,Right-footed shot,Marcelo,77.0,2,00
09/10,LaLiga,Early Rounds,05/02/10,Home,Real Madrid,CA Osasuna,3-02,Unknown,Right-footed shot,Unknown,25.0,3,02
09/10,LaLiga,Early Rounds,05/02/10,Home,Real Madrid,CA Osasuna,3-02,Unknown,Header,Gonzalo Higuain,89.0,3,02
09/10,LaLiga,Early Rounds,05/05/10,Away,Real Madrid,RCD Mallorca,1-04,Unknown,Right-footed shot,Sergio Ramos,26.0,1,04
09/10,LaLiga,Early Rounds,05/05/10,Away,Real Madrid,RCD Mallorca,1-04,Unknown,Right-footed shot,Sergio Ramos,56.0,1,04
09/10,LaLiga,Early Rounds,05/05/10,Away,Real Madrid,RCD Mallorca,1-04,Unknown,Right-footed shot,Unknown,71.0,1,04
09/10,LaLiga,Early Rounds,05/08/10,Home,Real Madrid,Athletic Bilbao,5-01,CF,Penalty,Unknown,21.0,5,01
10/11,LaLiga,Early Rounds,9/21/10,Home,Real Madrid,RCD Espanyol Barcelona,3-00,LW,Penalty,Unknown,28.0,3,00
10/11,LaLiga,Early Rounds,10/03/10,Home,Real Madrid,Deportivo de La CoruÃ±a,6-01,LW,Header,Mesut Ozil,4.0,6,01
10/11,LaLiga,Early Rounds,10/03/10,Home,Real Madrid,Deportivo de La CoruÃ±a,6-01,LW,Left-footed shot,Xabi Alonso,89.0,6,01
10/11,LaLiga,Early Rounds,10/16/10,Away,Real Madrid,Malaga CF,1-04,LW,Right-footed shot,Mesut Ozil,45.0,1,04
10/11,LaLiga,Early Rounds,10/16/10,Away,Real Madrid,Malaga CF,1-04,LW,Penalty,Unknown,50.0,1,04
10/11,UEFA Champions League,Group Stage,10/19/10,Home,Real Madrid,AC Milan,2-00,LW,Direct free kick,Unknown,13.0,2,00
10/11,LaLiga,Early Rounds,10/23/10,Home,Real Madrid,Racing Santander,6-01,LW,Right-footed shot,Gonzalo Higuain,15.0,6,01
10/11,LaLiga,Early Rounds,10/23/10,Home,Real Madrid,Racing Santander,6-01,LW,Left-footed shot,Mesut Ozil,26.0,6,01
10/11,LaLiga,Early Rounds,10/23/10,Home,Real Madrid,Racing Santander,6-01,LW,Right-footed shot,Angel Di Maria,47.0,6,01
10/11,LaLiga,Early Rounds,10/23/10,Home,Real Madrid,Racing Santander,6-01,LW,Penalty,Unknown,55.0,6,01
10/11,LaLiga,Early Rounds,10/30/10,Away,Real Madrid,Hercules CF,1-03,LW,Right-footed shot,Karim Benzema,82.0,1,03
10/11,LaLiga,Early Rounds,10/30/10,Away,Real Madrid,Hercules CF,1-03,LW,Right-footed shot,Karim Benzema,86.0,1,03
10/11,Copa del Rey,Fourth Round,11/10/10,Home,Real Madrid,Real Murcia CF,5-01,Unknown,Left-footed shot,Angel Di Maria,76.0,5,01
10/11,LaLiga,Early Rounds,11/20/10,Home,Real Madrid,Athletic Bilbao,5-01,LW,Left-footed shot,Mesut Ozil,30.0,5,01
10/11,LaLiga,Early Rounds,11/20/10,Home,Real Madrid,Athletic Bilbao,5-01,LW,Direct free kick,Unknown,62.0,5,01
10/11,LaLiga,Early Rounds,11/20/10,Home,Real Madrid,Athletic Bilbao,5-01,LW,Penalty,Unknown,91.0,5,01
10/11,UEFA Champions League,Group Stage,11/23/10,Away,Real Madrid,Ajax Amsterdam,0-04,LW,Left-footed shot,Angel Di Maria,70.0,0,04
10/11,UEFA Champions League,Group Stage,11/23/10,Away,Real Madrid,Ajax Amsterdam,0-04,LW,Penalty,Unknown,81.0,0,04
10/11,LaLiga,Early Rounds,12/04/10,Home,Real Madrid,Valencia CF,2-00,LW,Left-footed shot,Mesut Ozil,72.0,2,00
10/11,LaLiga,Early Rounds,12/04/10,Home,Real Madrid,Valencia CF,2-00,LW,Right-footed shot,Unknown,86.0,2,00
10/11,UEFA Champions League,Group Stage,12/08/10,Home,Real Madrid,AJ Auxerre,4-00,LW,Right-footed shot,Marcelo,49.0,4,00
10/11,LaLiga,Early Rounds,12/12/10,Away,Real Madrid,Real Zaragoza,1-03,LW,Direct free kick,Unknown,43.0,1,03
10/11,Copa del Rey,Last 16,12/22/10,Home,Real Madrid,Levante UD,8-00,LW,Right-footed shot,Karim Benzema,44.0,8,00
10/11,Copa del Rey,Last 16,12/22/10,Home,Real Madrid,Levante UD,8-00,LW,Right-footed shot,Angel Di Maria,71.0,8,00
10/11,Copa del Rey,Last 16,12/22/10,Home,Real Madrid,Levante UD,8-00,LW,Right-footed shot,Karim Benzema,73.0,8,00
10/11,LaLiga,Early Rounds,01/03/11,Away,Real Madrid,Getafe CF,2-03,LW,Penalty,Unknown,11.0,2,03
10/11,LaLiga,Early Rounds,01/03/11,Away,Real Madrid,Getafe CF,2-03,LW,Right-footed shot,Karim Benzema,57.0,2,03
10/11,LaLiga,Early Rounds,01/09/11,Home,Real Madrid,Villarreal CF,4-02,LW,Right-footed shot,Mesut Ozil,10.0,4,02
10/11,LaLiga,Early Rounds,01/09/11,Home,Real Madrid,Villarreal CF,4-02,LW,Header,Xabi Alonso,45.0,4,02
10/11,LaLiga,Early Rounds,01/09/11,Home,Real Madrid,Villarreal CF,4-02,LW,Left-footed shot,Kaka,79.0,4,02
10/11,Copa del Rey,Quarter-Finals,1/13/11,Home,Real Madrid,Atletico de Madrid,3-01,LW,Right-footed shot,Mesut Ozil,60.0,3,01
10/11,Copa del Rey,Quarter-Finals,1/20/11,Away,Real Madrid,Atletico de Madrid,0-01,CF,Right-footed shot,Sergio Ramos,22.0,0,01
10/11,LaLiga,Early Rounds,02/06/11,Home,Real Madrid,Real Sociedad,4-01,LW,Left-footed shot,Kaka,20.0,4,01
10/11,LaLiga,Early Rounds,02/06/11,Home,Real Madrid,Real Sociedad,4-01,LW,Header,Mesut Ozil,42.0,4,01
10/11,LaLiga,Early Rounds,03/03/11,Home,Real Madrid,Malaga CF,7-00,LW,Left-footed shot,Mesut Ozil,50.0,7,00
10/11,LaLiga,Early Rounds,03/03/11,Home,Real Madrid,Malaga CF,7-00,LW,Penalty,Unknown,67.0,7,00
10/11,LaLiga,Early Rounds,03/03/11,Home,Real Madrid,Malaga CF,7-00,LW,Right-footed shot,Sergio Canales,76.0,7,00
10/11,UEFA Champions League,Quarter-Finals,04/05/11,Home,Real Madrid,Tottenham Hotspur,4-00,LW,Right-footed shot,Kaka,87.0,4,00
10/11,LaLiga,Early Rounds,04/09/11,Away,Real Madrid,Athletic Bilbao,0-03,CF,Right-footed shot,Esteban Granero,70.0,0,03
10/11,UEFA Champions League,Quarter-Finals,4/13/11,Away,Real Madrid,Tottenham Hotspur,0-01,RW,Right-footed shot,Sami Khedira,50.0,0,01
10/11,LaLiga,Early Rounds,4/16/11,Home,Real Madrid,FC Barcelona,1-01,LW,Penalty,Unknown,82.0,1,01
10/11,Copa del Rey,Final,4/20/11,Away,Real Madrid,FC Barcelona,0-1 AET,CF,Header,Angel Di Maria,103.0,0,1 AET
